t,temperature,free_energy,internal_energy,entropy,partition_quotient,cache_thermal_index,neuromorphic_energy_ratio,learning_loss,phase_event
0,72.72727273,-7.40197583,0.66436000,0.11091212,1.00000000,0.00000000,0.01177141,0.66436000,0.0
1,72.64395718,-6.07279459,1.20615458,0.10020034,0.98198379,0.00529356,0.02708187,1.20615458,0.0
2,72.56181363,-4.92517785,1.67002916,0.09089088,0.96666667,0.00533087,0.04217128,1.67002916,0.0
3,72.48083813,-3.46225800,2.44272493,0.08146957,0.94742333,0.00534731,0.07541582,2.44272493,0.0
4,72.40102666,-2.24046081,3.19716368,0.07510425,0.93161838,0.00535319,0.09703536,3.19716368,0.0
5,72.32237512,-1.65864685,3.43334532,0.07040687,0.92418493,0.00536743,0.11107730,3.43334532,0.0
6,72.24487935,-0.77221941,3.98640378,0.06586797,0.91293714,0.00537178,0.14301579,3.98640378,0.0
7,72.16853511,0.51295807,4.75810900,0.05882274,0.89683359,0.00536740,0.18601342,4.75810900,0.0
8,72.09333811,1.66437963,5.52509830,0.05355167,0.88261726,0.00537337,0.23052660,5.52509830,0.0
9,72.01928398,2.38442059,6.10884195,0.05171422,0.87381617,0.00538389,0.25182483,6.10884195,0.0
10,71.94636826,3.43198171,7.05750792,0.05039207,0.86115642,0.00539123,0.28242169,7.05750792,0.0
11,71.87458647,3.70727348,7.32928245,0.05039346,0.85782349,0.00540009,0.28455907,7.32928245,0.0
12,71.80393402,4.30627133,7.57144109,0.04547341,0.85065401,0.00540830,0.33010344,7.57144109,0.0
13,71.73440626,4.93793400,8.19764352,0.04544137,0.84314738,0.00541435,0.34085100,8.19764352,0.0
14,71.66599848,6.31959724,9.37123574,0.04258140,0.82699352,0.00541718,0.38542269,9.37123574,0.0
15,71.59870591,7.57319075,10.21963298,0.03696215,0.81257269,0.00542451,0.46429528,10.21963298,0.0
16,71.53252369,8.01737631,10.73260229,0.03795792,0.80746358,0.00543015,0.45828604,10.73260229,0.0
17,71.46744692,8.66649504,11.27441490,0.03649102,0.80008117,0.00543690,0.48141118,11.27441490,0.0
18,71.40347059,9.26774528,12.00063081,0.03827385,0.79328620,0.00544337,0.47551935,12.00063081,0.0
19,71.34058967,9.42040049,12.16707392,0.03850085,0.79149998,0.00544736,0.50738832,12.16707392,0.0
20,71.27879904,10.40296932,13.14623972,0.03848648,0.78057476,0.00545349,0.50886080,13.14623972,0.0
21,71.21809350,11.67083924,14.37586051,0.03798222,0.76670604,0.00545737,0.52573554,14.37586051,0.0
22,71.15846779,11.43869055,14.00698484,0.03609260,0.76910583,0.00546222,0.54460572,14.00698484,0.0
23,71.09991661,11.69198805,14.26231594,0.03615093,0.76626928,0.00546697,0.54919694,14.26231594,0.0
24,71.04243455,11.80542334,14.38483755,0.03630808,0.76494494,0.00547163,0.54631351,14.38483755,0.0
25,70.98601615,12.41634811,14.92957857,0.03540459,0.75828971,0.00547705,0.54871372,14.92957857,0.0
26,70.93065589,12.31593016,14.67279398,0.03322772,0.75926034,0.00548232,0.57881777,14.67279398,0.0
27,70.87634816,11.60863282,14.11715188,0.03539289,0.76677315,0.00548744,0.54384778,14.11715188,0.0
28,70.82308731,13.32855536,15.68656423,0.03329435,0.74828435,0.00549165,0.59360243,15.68656423,0.0
29,70.77086759,13.94617590,16.19626212,0.03179396,0.74167945,0.00549653,0.62221892,16.19626212,0.0
30,70.71968319,14.31902878,16.58210274,0.03200062,0.73767419,0.00550128,0.61916941,16.58210274,0.0
31,70.66952825,14.31526393,16.72195367,0.03405555,0.73760749,0.00550590,0.59572676,16.72195367,0.0
32,70.62039682,13.92148137,16.39680196,0.03505107,0.74162739,0.00550905,0.57966225,16.39680196,0.0
33,70.57228288,16.22343515,18.51533781,0.03247596,0.71773051,0.00551283,0.63366370,18.51533781,0.0
34,70.52518035,16.35010537,18.53176190,0.03093443,0.71633256,0.00551590,0.66375147,18.53176190,0.0
35,70.47908307,16.48208707,18.79713682,0.03284733,0.71488398,0.00551954,0.64417368,18.79713682,0.0
36,70.43398480,17.20111813,19.46238559,0.03210478,0.70751720,0.00552311,0.66183101,19.46238559,0.0
37,70.38987925,17.87790464,20.03057987,0.03058217,0.70063992,0.00552660,0.67293910,20.03057987,0.0
38,70.34676005,19.02748209,20.74087837,0.02435643,0.68917610,0.00553059,0.74479393,20.74087837,0.0
39,70.30462074,20.09488479,21.80425529,0.02431377,0.67868165,0.00553448,0.75757872,21.80425529,0.0
40,70.26345482,20.07182015,21.88553277,0.02581303,0.67879079,0.00553826,0.74901726,21.88553277,0.0
41,70.22325568,20.90585842,22.88080161,0.02812378,0.67066683,0.00554195,0.72738326,22.88080161,0.0
42,70.18401667,21.75202231,23.70680844,0.02785230,0.66251929,0.00554554,0.75081268,23.70680844,0.0
43,70.14573103,22.51828455,24.40580025,0.02690849,0.65521057,0.00554904,0.75658024,24.40580025,0.0
44,70.10839195,21.87788085,23.75404104,0.02676085,0.66110995,0.00555096,0.73145854,23.75404104,0.0
45,70.07199255,21.65436386,23.48615782,0.02614160,0.66311464,0.00555430,0.75287698,23.48615782,0.0
46,70.03652585,21.52215832,23.50810237,0.02835583,0.66426360,0.00555661,0.71511608,23.50810237,0.0
47,70.00198481,22.04648477,23.82025787,0.02533890,0.65920678,0.00555979,0.75132405,23.82025787,0.0
48,69.96836231,21.12999675,22.85128623,0.02460097,0.66779719,0.00556289,0.75822379,22.85128623,0.0
49,69.93565114,22.45350930,24.19044255,0.02483616,0.65518560,0.00556546,0.76341740,24.19044255,0.0
50,69.90384404,22.53498405,24.31862207,0.02551559,0.65432681,0.00556839,0.76640991,24.31862207,0.0
51,69.87293364,21.81266834,23.65993916,0.02643757,0.66103176,0.00557038,0.74726262,23.65993916,0.0
52,69.84291251,22.96138404,24.84681602,0.02699532,0.65016136,0.00557316,0.76562397,24.84681602,0.0
53,69.81377312,22.33607831,24.30342025,0.02817985,0.65592085,0.00557462,0.73696849,24.30342025,0.0
54,69.78550790,21.84115690,23.61849220,0.02546854,0.66050360,0.00557726,0.75679933,23.61849220,0.0
55,69.75810915,22.32948985,23.87331947,0.02213119,0.65581535,0.00557982,0.79207768,23.87331947,0.0
56,69.73156912,22.71568353,24.27763477,0.02239949,0.65211384,0.00558230,0.79600850,24.27763477,0.0
57,69.70587997,22.36712375,24.01243442,0.02360361,0.65530418,0.00558432,0.78396238,24.01243442,0.0
58,69.68103376,22.26570303,23.93435621,0.02394702,0.65618359,0.00558627,0.77910317,23.93435621,0.0
59,69.65702250,23.05310243,24.80089430,0.02509140,0.64873643,0.00558853,0.78015315,24.80089430,0.0
60,69.63383809,23.61437881,25.20248818,0.02280658,0.64345747,0.00559035,0.80456313,25.20248818,0.0
61,69.61147235,23.70541259,25.26382626,0.02238731,0.64254653,0.00559246,0.79847744,25.26382626,0.0
62,69.58991701,23.73807767,25.27804693,0.02212920,0.64217725,0.00559415,0.79095082,25.27804693,0.0
63,69.56916374,24.30959536,25.92554968,0.02322803,0.63685850,0.00559612,0.79142687,25.92554968,0.0
64,69.54920408,24.19348098,25.74740932,0.02234286,0.63785868,0.00559802,0.80100435,25.74740932,0.0
65,69.53002953,23.76293299,25.31535910,0.02232742,0.64175915,0.00559985,0.78168701,25.31535910,0.0
66,69.51163145,24.98165938,26.48190842,0.02158270,0.63054840,0.00560127,0.82480986,26.48190842,0.0
67,69.49400117,25.49310340,27.02740309,0.02207816,0.62586782,0.00560297,0.80886746,27.02740309,0.0
68,69.47712988,26.76012751,28.17338673,0.02034136,0.61450285,0.00560459,0.83047730,28.17338673,0.0
69,69.46100870,26.71736485,28.22396883,0.02168992,0.61482631,0.00560583,0.81474980,28.22396883,0.0
70,69.44562868,26.13560876,27.54307235,0.02026713,0.61994562,0.00560701,0.81837761,27.54307235,0.0
71,69.43098073,26.25364912,27.75770370,0.02166259,0.61884340,0.00560814,0.81907541,27.75770370,0.0
72,69.41705572,26.41594903,27.89489946,0.02130529,0.61735138,0.00560951,0.82175590,27.89489946,0.0
73,69.40384440,26.54646394,27.94769757,0.02018957,0.61614690,0.00561082,0.82453424,27.94769757,0.0
74,69.39133743,27.82104676,29.18395746,0.01964093,0.60489109,0.00561207,0.84508063,29.18395746,0.0
75,69.37952538,28.42666210,29.67300452,0.01796412,0.59959303,0.00561326,0.86551576,29.67300452,0.0
76,69.36839872,28.82413067,30.31342365,0.02146933,0.59612812,0.00561438,0.83264431,30.31342365,0.0
77,69.35794784,27.77006782,29.30263697,0.02209652,0.60521903,0.00561544,0.82647956,29.30263697,0.0
78,69.34816302,28.34286180,29.76586149,0.02051965,0.60020679,0.00561645,0.83733866,29.76586149,0.0
79,69.33903445,28.12090396,29.67114570,0.02235742,0.60209877,0.00561712,0.81799557,29.67114570,0.0
80,69.33055224,28.53004218,29.95960487,0.02061952,0.59852639,0.00561801,0.84095495,29.95960487,0.0
81,69.32270637,27.26687919,28.80999262,0.02225986,0.60950401,0.00561857,0.81697272,28.80999262,0.0
82,69.31548675,27.45953731,29.10161599,0.02368992,0.60778738,0.00561882,0.79956190,29.10161599,0.0
83,69.30888319,27.23302874,28.94655307,0.02472301,0.60975393,0.00561956,0.80167260,28.94655307,0.0
84,69.30288539,26.84218161,28.52446368,0.02427434,0.61318162,0.00562024,0.78927861,28.52446368,0.0
85,69.29748297,27.77368888,29.26986304,0.02159060,0.60497602,0.00562087,0.82499136,29.26986304,0.0
86,69.29266543,27.79867120,29.32134990,0.02197460,0.60474110,0.00562145,0.82404883,29.32134990,0.0
87,69.28842219,28.15427197,29.66242616,0.02176632,0.60163062,0.00562197,0.82965446,29.66242616,0.0
88,69.28474256,28.11211443,29.55088100,0.02076599,0.60198382,0.00562245,0.83747568,29.55088100,0.0
89,69.28161576,28.35436954,29.75398202,0.02020179,0.59987157,0.00562288,0.84528263,29.75398202,0.0
90,69.27903091,28.93558566,30.44685169,0.02181419,0.59485092,0.00562301,0.83754184,30.44685169,0.0
91,69.27697702,28.06618478,29.57991444,0.02185040,0.60235566,0.00562311,0.82897306,29.57991444,0.0
92,69.27544301,28.50502273,30.00197008,0.02160863,0.59854662,0.00562340,0.82943700,30.00197008,0.0
93,69.27441769,28.16618604,29.53551958,0.01976680,0.60147775,0.00562365,0.85130555,29.53551958,0.0
94,69.27388979,27.97142355,29.28915177,0.01902200,0.60316931,0.00562385,0.85510819,29.28915177,0.0
95,69.27384792,27.91209687,29.37428238,0.02110732,0.60368594,0.00562401,0.83177922,29.37428238,0.0
96,69.27428059,28.63784320,30.23466895,0.02305077,0.59739599,0.00562413,0.81476363,30.23466895,0.0
97,69.27517623,28.96942919,30.20016068,0.01776584,0.59454656,0.00562421,0.86999972,30.20016068,0.0
98,69.27652316,28.14064446,29.61442891,0.02127394,0.60170699,0.00562425,0.83208778,29.61442891,0.0
99,69.27830959,28.72986885,30.24821342,0.02191659,0.59661731,0.00562403,0.82997820,30.24821342,0.0
100,69.28052363,29.26209662,30.83979427,0.02277260,0.59205938,0.00562377,0.82839547,30.83979427,0.0
101,69.28315332,29.22519885,30.75174548,0.02203345,0.59238427,0.00562370,0.83300570,30.75174548,0.0
102,69.28618655,30.47846988,31.80659554,0.01916869,0.58177610,0.00562360,0.86640002,31.80659554,0.0
103,69.28961117,31.00186349,32.30245968,0.01877044,0.57741064,0.00562346,0.86923434,32.30245968,0.0
104,69.29341488,31.31832505,32.62171365,0.01880970,0.57479375,0.00562286,0.87231748,32.62171365,0.0
105,69.29758531,30.82245448,32.07064350,0.01801201,0.57893728,0.00562266,0.88056677,32.07064350,0.0
106,69.30210998,31.37774855,32.65494410,0.01842939,0.57433367,0.00562243,0.87054392,32.65494410,0.0
107,69.30697633,32.06983721,33.28708643,0.01756316,0.56864508,0.00562217,0.87667175,33.28708643,0.0
108,69.31217167,31.90649281,33.10102425,0.01723408,0.57000653,0.00562167,0.87766732,33.10102425,0.0
109,69.31768325,32.07540410,33.22653076,0.01660654,0.56864006,0.00562135,0.88649925,33.22653076,0.0
110,69.32349819,31.27117706,32.52184826,0.01804109,0.57529763,0.00562101,0.87632517,32.52184826,0.0
111,69.32960355,31.58185103,32.83209397,0.01803332,0.57274818,0.00562044,0.87960216,32.83209397,0.0
112,69.33598628,31.25503186,32.63371852,0.01988414,0.57547836,0.00561985,0.85715905,32.63371852,0.0
113,69.34263321,30.75856028,32.13937594,0.01991294,0.57963844,0.00561943,0.85521686,32.13937594,0.0
114,69.34953112,30.47241251,32.05908900,0.02287941,0.58206075,0.00561880,0.82633272,32.05908900,0.0
